CustomerNo,Country
17490,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
13069,United Kingdom
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
12433,Norway
13426,United Kingdom
13426,United Kingdom
13426,United Kingdom
13426,United Kingdom
13426,United Kingdom
13426,United Kingdom
13426,United Kingdom
13426,United Kingdom
13426,United Kingdom
13426,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
17364,United Kingdom
14441,United Kingdom
14441,United Kingdom
14441,United Kingdom
14441,United Kingdom
14441,United Kingdom
14441,United Kingdom
14441,United Kingdom
14441,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
17490,United Kingdom
16446,United Kingdom
17389,United Kingdom
17389,United Kingdom
17001,United Kingdom
17001,United Kingdom
17001,United Kingdom
17001,United Kingdom
17001,United Kingdom
17001,United Kingdom
17001,United Kingdom
17001,United Kingdom
17001,United Kingdom
17001,United Kingdom
17001,United Kingdom
17001,United Kingdom
17001,United Kingdom
17001,United Kingdom
17001,United Kingdom
17001,United Kingdom
15694,United Kingdom
17428,United Kingdom
17428,United Kingdom
17428,United Kingdom
16954,United Kingdom
16954,United Kingdom
12433,Norway
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
15492,United Kingdom
