TransactionNo,CustomerNo,TotalPrice
581482,17490,257.64
581475,13069,383.4
581475,13069,138.36
581475,13069,127.8
581475,13069,71.64
581475,13069,255.6
581475,13069,207.54
581475,13069,147
581475,13069,127.8
581475,13069,253.2
581475,13069,221.2
581475,13069,147
581475,13069,221.2
581475,13069,147
581475,13069,138.36
581475,13069,138.36
581475,13069,265.44
581475,13069,132.72
581475,13069,265.44
581475,13069,506.4
581476,12433,553.44
581476,12433,281.76
581476,12433,122.56
581476,12433,138.36
581476,12433,1052.16
581476,12433,543.36
581476,12433,563.52
581476,12433,512.64
581476,12433,256.32
581476,12433,256.32
581476,12433,768.96
581476,12433,512.64
581476,12433,122.56
581476,12433,56.36
581476,12433,112.72
581476,12433,112.72
581476,12433,56.36
581476,12433,233.76
581476,12433,2177.28
581476,12433,276.72
581476,12433,308.64
581476,12433,308.64
581476,12433,147
581476,12433,245.12
581476,12433,77.16
581476,12433,1099
581476,12433,116.88
581476,12433,137.88
581476,12433,446.4
581476,12433,422.64
581476,12433,138.36
581476,12433,422.64
581476,12433,91.92
581476,12433,169.08
581476,12433,58.44
581476,12433,140.88
581476,12433,350.64
581476,12433,583.2
581476,12433,594.24
581476,12433,563.52
581476,12433,255.6
581476,12433,255.6
581476,12433,255.6
581476,12433,115.3
581476,12433,444.8
581476,12433,640.8
581476,12433,2488.8
581476,12433,583.2
581476,12433,341.76
581476,12433,170.88
581476,12433,230.6
581476,12433,583.2
581476,12433,518.88
581476,12433,1503.36
581476,12433,115.3
581476,12433,398.16
581476,12433,367.5
581476,12433,37.2
581476,12433,37.2
581476,12433,37.2
581476,12433,207.54
581476,12433,355.2
581476,12433,183.84
581476,12433,87
581477,13426,175.1
581477,13426,132.72
581477,13426,133.44
581477,13426,133.44
581477,13426,122.56
581477,13426,583.2
581477,13426,138.36
581477,13426,79.62
581477,13426,143.28
581477,13426,133.44
581478,17364,276.72
581478,17364,138.36
581478,17364,222
581478,17364,183.84
581478,17364,58
581478,17364,58
581478,17364,506.4
581478,17364,56.36
581478,17364,61.28
581478,17364,61.28
581478,17364,74.4
581478,17364,124
581478,17364,138.36
581478,17364,138.36
581478,17364,131.04
581478,17364,137.36
581478,17364,84.54
581478,17364,266.88
581479,17364,132.7
581480,14441,61.28
581480,14441,123.8
581480,14441,116.88
581480,14441,148.8
581480,14441,183.84
581480,14441,175.32
581480,14441,91.92
581480,14441,231.48
581481,17490,98
581481,17490,255.6
581481,17490,276.72
581481,17490,265.44
581481,17490,98
581481,17490,132.72
581481,17490,132.72
581481,17490,88.48
581481,17490,138.36
581481,17490,221.2
581481,17490,147
581481,17490,138.36
581481,17490,138.36
581481,17490,265.44
581481,17490,73.5
581481,17490,176.96
581482,17490,171.6
581482,17490,408.24
581482,17490,1086.72
581482,17490,563.52
581482,17490,350.64
581483,16446,1002718.1
581485,17389,275.76
581485,17389,1407.84
581486,17001,159.24
581486,17001,159.24
581486,17001,74.28
581486,17001,74.28
581486,17001,49.52
581486,17001,24.76
581486,17001,72.48
581486,17001,72.48
581486,17001,144.96
581486,17001,144.96
581486,17001,36.24
581486,17001,123.8
581486,17001,123.8
581486,17001,61.9
581486,17001,123.8
581486,17001,61.9
581487,15694,724.8
581488,17428,96.64
581488,17428,96.64
581488,17428,144.96
581489,16954,347.52
581489,16954,173.76
581491,12433,86.88
